id,membership,email,username,first_name,last_name,phone_number,id_number,kra_pin,birth_date,gender,marital_status,postal_code,town,country,status,payment_method,mpesa_number,preferred_payment_day,employment_status,employment_sector,salary,total_deductions,employer,position,date_employed,previous_employer,previous_salary,relative_name,relative_phone_number,relative_email,relative_relationship,relative_birth_date,relative_gender,relative_marital_status,relative_postal_code,relative_town,relative_country,highest_education_level,last_school_attended,year_joined,graduation_year,course,grade,subscription_title,rate
1,4,bsailer0@mlb.com,bsailer0,Belia,Sailer,133-617-5352,fec3f4f2-ed01-4951-b5e7-5237fe44631e,b8613dc8-09da-43e3-b4ad-5c1106da1cb7,5-16-2022,Polygender," widowed",332 04,Nezvěstice,Czech Republic," disabled",mpesa,428-159-5237,20,"employed "," private",142861,33989,Browsezoom,Occupational Therapist,5-20-2022,Tazz,185018,Belia Sailer,454-634-6982,bsailer0@bravesites.com," aunt",3-9-2022,Male," widowed",7009,Tianjiazhai,China," secondary ",Liaoning Normal University,2003,1993,"Enviva Partners, LP","pass ","weekly ",24
2,1,scrayke1@chronoengine.com,scrayke1,Stafford,Crayke,518-603-5411,09ecfc5e-a9d5-4c63-890a-4bb6f376e97b,d3047cb0-dd17-420a-a803-e4d02c025d21,10-22-2021,Male,"single ",228,Sebegen,Indonesia,"active ",mpesa,236-182-0677,24,"employed ","public ",237528,14435,Skinix,VP Product Management,11-7-2021,Dynazzy,106775,Stafford Crayke,386-281-6836,scrayke1@1688.com," aunt",5-9-2022,Male," divorced ",67928 CEDEX 9,Strasbourg,France," secondary ",IDRAC (Institut de recherche en action commerciale),2001,1997,Macy's Inc," fail"," monthly",11
3,3,dlonghorne2@addthis.com,dlonghorne2,Desmund,Longhorne,639-403-7150,73751b7c-07ca-40da-a59a-6b8aba7871dd,4f7611c6-b58a-4dae-8038-69e66e6276bc,11-2-2021,Male,"single ",606135,Taremskoye,Russia," disabled",mpesa,625-797-6585,8,"employed ","public ",209935,21546,Zoovu,Web Designer IV,9-24-2022,Edgepulse,206609,Desmund Longhorne,808-967-1612,dlonghorne2@exblog.jp," cousin ",3-15-2022,Male," widowed",110221,Barrio San Luis,Colombia," primary",Universidad del Rosario,2005,2010,Deluxe Corporation," fail","weekly ",11
4,3,sgabbett3@wikispaces.com,sgabbett3,Sigfrid,Gabbett,943-593-8738,4b7d85df-afc9-4377-88e1-5939d8cc7f37,42a48834-8c37-4f40-808a-a863547df48b,4-28-2022,Male," widowed",20158,Milano,Italy," banned ",mpesa,890-150-5662,6,"employed ","public ",229420,31997,Quinu,Assistant Media Planner,12-17-2021,Dynazzy,95422,Sigfrid Gabbett,602-946-5155,sgabbett3@discuz.net," aunt",5-7-2022,Female," widowed",L-9359,Bettendorf,Luxembourg," college ",University of Luxemburg,2005,2003,MSCI Inc,"pass "," monthly",41
5,1,psidry4@tumblr.com,psidry4,Pamela,Sidry,945-206-1894,a8c518df-915c-4712-99dd-ad9cef7ff83d,775e7d79-fb50-4a9a-b160-b6c80937168b,7-13-2022,Female," widowed",44320-000,Conceição da Feira,Brazil," disabled",mpesa,793-804-5060,10,"employed "," private",126843,47080,Devshare,Business Systems Development Analyst,2-10-2022,Bubblemix,201534,Pamela Sidry,837-958-5161,psidry4@arizona.edu," brother ",12-10-2021,Male,"single ",65140,Bang Rakam,Thailand," primary",Hatyai University,2001,1993,Goldman Sachs MLP Income Opportunities Fund,"pass "," monthly",22
6,1,vsparling5@wp.com,vsparling5,Valry,Sparling,191-299-0746,4c86918a-165d-4691-ae06-79d9e19f5454,a57a0a9c-3467-4200-aa27-de52eedafe0f,9-26-2022,Female," widowed",48120,Plaeng Yao,Thailand," disabled",mpesa,317-992-6638,15,"employed ","public ",112960,27878,Twitterbeat,Financial Advisor,5-17-2022,Fivechat,196735,Valry Sparling,252-351-3074,vsparling5@elegantthemes.com,"sister ",10-17-2021,Male," divorced ",7788,Taihe,China," secondary ",Guangxi Traditional Chinese Medical University,1995,1999,Invitation Homes Inc.,"pass "," monthly",37
7,4,rbowyer6@meetup.com,rbowyer6,Rasla,Bowyer,593-823-6910,3761f656-2d0c-4cf3-b79c-4bdf96ee684c,bb0fc8ba-04c0-4215-8297-cf1c67d4c821,2-5-2022,Female," divorced ",92864 CEDEX 9,Issy-les-Moulineaux,France," banned ",mpesa,211-134-3773,25,"employed "," private",212433,41568,Brainverse,Professor,3-16-2022,Jabberstorm,137754,Rasla Bowyer,749-571-1129,rbowyer6@biglobe.ne.jp," aunt",9-1-2022,Male," divorced ",231 43,Trelleborg,Sweden,"university ",Royal lnstitute of Technology,2009,1993,"Vectrus, Inc."," fail"," monthly",33
8,4,fjollie7@netscape.com,fjollie7,Frazier,Jollie,261-552-4900,dd529b5b-8b81-416b-9b43-83e275e0cba6,82420063-7d3a-4f10-a21a-8f1ee0990fe0,7-12-2022,Male," widowed",90119,Gulai,China," banned ",mpesa,502-530-0471,20,"employed ","public ",239164,18832,Eadel,Structural Engineer,5-25-2022,Skyba,204211,Frazier Jollie,114-504-7337,fjollie7@mozilla.org," aunt",7-10-2022,Male," widowed",40618,Frankfort,United States," primary",University of Kansas,2011,2001,"Rand Logistics, Inc."," fail"," monthly",44
9,2,tdonegan8@macromedia.com,tdonegan8,Tracy,Donegan,450-228-5322,5fa2cd7f-9f1e-494d-9deb-68d0c9ec81da,02183dc0-2ead-45bb-b80a-8af49c515d98,3-3-2022,Male,"single ",59,Mingcheng,China," banned ",mpesa,338-557-5247,1,"employed ","public ",170279,24897,Babbleset,Administrative Officer,12-22-2021,Yakidoo,234642,Tracy Donegan,908-513-7765,tdonegan8@omniture.com," aunt",8-14-2022,Female," widowed",8420,Bukal,Philippines," primary","University of Perpetual Help, System Dalta",2001,2008,"Select Energy Services, Inc.","pass ","weekly ",16
10,4,lcraythorne9@yolasite.com,lcraythorne9,Lonna,Craythorne,212-739-3524,878ae36e-59fe-459d-ad83-4191d4d80a7e,2067f829-397a-4ec4-8215-9064526db7b2,10-13-2022,Genderqueer,"single ",50100,Ciawitali,Indonesia," banned ",mpesa,518-312-1832,21,"employed "," private",140164,25556,Rhynoodle,Account Coordinator,2-26-2022,Wordpedia,245494,Lonna Craythorne,169-948-4767,lcraythorne9@chron.com," aunt",6-17-2022,Male," widowed",7032,Bagacay,Philippines,"university ",Saint Louis University,2002,2001,iStar Financial Inc.,"pass "," monthly",32
